낚시터명,낚시터유형,소재지도로명주소,WGS84위도,WGS84경도,주요어종,이용요금,데이터기준일자
원실내낚시터,기타,울산광역시 울주군 온산읍 신온8길 20-6,35.4292604,129.3109347,잉어+붕어,"25,000원(1시간), 30,000(2시간), 35,000원(3시간), 60,000원(6시간)",2022-11-17
당사해양낚시공원,바다,울산광역시 북구 용바위1길 58 (당사동),35.581079,129.455723,"볼락, 우럭, 쏨뱅이, 전갱이 등","1. 낚   시 : (성인)10,000원, (청소년) 5,000원 2. 입장료 : (성인) 1,000원, (청소년) 500원",2025-06-23
해적바다실내낚시터,기타,"울산광역시 동구 화잠로 105, 지하 1층 (방어동)",35.47849091,129.413984,"참돔, 점성어","1시간 25,000원 2시간 35,000원 3시간 40,000원 6시간 65,000원",2024-07-30
도깨비낚시터,저수지,,37.44348486,128.0719036,"붕어,잉어,향어",30000,2021-10-07
새말낚시터,저수지,,37.467563,128.0436703,"붕어,잉어,향어",10000,2021-10-07
대영낚시터,저수지,,37.585641,127.9945217,"붕어,잉어,향어",30000,2021-10-07
현천낚시터,저수지,,37.48341109,128.175495,"붕어,잉어,향어",30000,2021-10-07
굴운낚시터,평지,,37.7232912138,127.9663790041,붕어+잉어,30000원,2023-04-18
구만리낚시터,평지,,37.7117234513,127.7018264539,붕어+잉어,25000원,2023-04-18
모곡낚시터,평지,,37.6956781115,127.5743335319,붕어+잉어,15000원,2023-04-18
시동유정낚시터,평지,,37.5920449067,127.824573738,붕어+잉어,10000원,2023-04-18
백달낚시터,저수지,,37.439543,128.064043,"붕어,잉어,향어",20000,2021-10-07
산내들낚시터,기타,강원특별자치도 철원군 김화읍 연동길33,38.2358501,127.3635403,"붕어, 향어, 메기, 장어",50000원/일,2023-07-12
소금강가족낚시터,평지,강원특별자치도 강릉시 연곡면 신왕길 388-64,37.83101752,128.7704452,"붕어, 잉어, 향어, 메기","손맛터-20,000원 메기 잡이터-35,000원 장비대여-10,000원 지렁이-5,000원 떡밥1덩이-2,000원",2022-06-07
샘골낚시터,기타,강원특별자치도 춘천시 서면  방동샘골길 35,37.9109353379,127.6682808536,향어+메기,"30,000원",2024-11-30
하늘낚시공원낚시터,기타,강원특별자치도 춘천시 서면 당숲안길 61,37.8363222975,127.6066043081,붕어,"평일 160,000원 금요일 180,000원 토요일 200,000원  (성인 2인)",2024-11-30
